,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
514,8478407,2023,Vince Dunn,SEA,D,all,39,23.33290598,74.44,4.16,4.73,16,10,195,33,7,8,16,43,23,23,22,98,5,4,2.45,0.51,1.2,5,1,1,107,3rd pair
515,8474031,2023,Kevin Shattenkirk,BOS,D,all,33,16.10505051,46.86,2.0,2.81,7,0,111,12,5,4,4,8,18,9,8,57,8,0,1.26,0.75,0.0,2,3,0,65,2nd line
516,8480853,2023,Liam Foudy,NSH,C,all,13,9.976923077,10.31,0.96,0.77,2,1,24,3,0,3,1,2,5,3,1,9,5,0,0.31,0.65,0.0,0,0,0,14,1st pair
517,8478851,2023,Alexandre Carrier,NSH,D,all,36,18.26898148,33.9,1.7,1.77,4,5,75,10,1,1,12,22,35,6,11,43,4,1,0.99,0.47,0.24,1,0,0,48,3rd line
518,8481568,2023,Alex Vlasic,CHI,D,all,34,20.50490196,35.05,1.54,1.82,5,4,76,10,1,3,6,15,20,28,22,44,2,2,0.76,0.25,0.53,1,0,0,48,3rd line
519,8481567,2023,Henry Thrun,SJS,D,all,15,18.55333333,18.65,0.58,0.87,1,1,37,2,0,1,2,4,6,6,6,25,1,0,0.5,0.08,0.0,0,0,0,26,3rd pair
520,8484145,2023,Zach Benson,BUF,L,all,30,15.23611111,55.02,7.4,4.12,6,4,90,14,4,1,9,18,9,16,8,40,20,11,1.51,2.44,3.44,0,3,1,71,3rd pair
521,8480884,2023,Calen Addison,SJS,D,all,37,17.58558559,46.27,2.02,3.36,6,5,123,12,1,3,7,14,11,7,7,65,2,1,1.5,0.29,0.22,1,0,0,68,3rd line
522,8475279,2023,Ben Chiarot,DET,D,all,40,19.58625,57.83,2.55,2.93,6,2,113,11,3,2,15,30,72,9,10,79,1,2,1.62,0.14,0.79,2,0,1,82,1st pair
523,8481239,2023,Samuel Fagemo,NSH,L,all,4,9.820833333,4.88,0.31,0.39,0,0,8,1,1,0,0,0,1,0,1,6,1,0,0.22,0.09,0.0,1,0,0,7,3rd line
524,8479378,2023,Logan Stanley,WPG,D,all,7,12.32142857,5.77,0.21,0.29,0,0,13,0,0,1,2,4,7,0,9,8,0,0,0.21,0.0,0.0,0,0,0,8,1st pair
525,8471677,2023,Jack Johnson,COL,D,all,41,14.86097561,43.76,1.89,2.39,5,2,106,9,2,5,5,12,30,7,11,60,2,1,1.29,0.2,0.4,2,0,0,63,2nd pair
526,8474062,2023,Riley Nash,NYR,C,all,1,11.08333333,0.66,0.01,0.04,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1,3rd line
527,8481806,2023,Louis Crevier,CHI,D,all,13,16.14230769,8.14,0.17,0.35,1,2,21,3,0,2,2,4,11,4,5,11,0,0,0.17,0.0,0.0,0,0,0,11,3rd pair
528,8476462,2023,Dougie Hamilton,NJD,D,all,20,20.975,62.3,3.51,3.43,4,7,150,16,5,5,10,20,11,5,14,81,4,3,1.75,0.48,1.27,3,0,2,88,3rd line
529,8476331,2023,Dylan DeMelo,WPG,D,all,39,21.84401709,35.2,1.29,1.79,6,6,83,13,1,2,9,18,68,7,33,47,4,0,0.73,0.56,0.0,1,0,0,51,2nd line
530,8478402,2023,Connor McDavid,EDM,C,all,34,21.32401961,111.27,14.36,8.65,24,16,209,54,14,20,8,16,45,37,37,97,37,19,3.58,4.28,6.5,2,8,4,153,3rd line
