,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
596,11.18,6.21,0.26,0.4,19,4,1,1,6,9,1,0,0.18,0.09,0.0,2,0,0,10
597,18.71,64.41,2.83,3.56,137,23,3,23,38,87,4,1,1.72,0.55,0.56,3,2,1,92
598,16.46,23.46,0.59,1.27,50,8,4,7,23,35,0,0,0.59,0.0,0.0,1,0,0,35
599,17.77,64.13,2.32,3.6,139,5,5,13,30,90,4,0,1.91,0.41,0.0,0,0,0,94
600,24.17,125.26,8.36,8.69,294,48,12,34,48,157,17,7,3.61,2.01,2.74,5,1,4,181
601,20.15,284.62,51.19,24.59,431,83,30,33,30,161,141,66,6.44,18.08,26.67,4,12,20,368
602,20.52,45.95,2.3,2.72,107,18,2,23,51,57,8,0,1.46,0.84,0.0,3,1,0,65
603,21.05,89.52,5.48,5.8,213,31,9,14,43,116,9,3,3.02,1.16,1.3,4,2,1,128
604,16.15,174.84,27.16,14.03,275,34,29,18,25,113,68,49,4.23,8.69,14.24,7,6,8,230
605,14.57,40.98,1.87,2.31,97,5,3,14,10,55,2,2,1.08,0.25,0.54,1,0,0,59
606,12.79,35.63,1.92,2.08,70,1,6,3,6,45,4,2,1.0,0.41,0.52,0,0,0,51
607,14.25,113.6,14.95,8.93,190,18,14,29,30,82,58,14,3.17,7.56,4.22,0,3,3,154
608,11.7,8.46,0.51,0.52,14,0,0,2,8,11,1,0,0.36,0.14,0.0,0,0,0,12
609,14.66,76.72,10.33,5.78,117,25,6,27,26,57,34,11,2.06,4.26,4.0,1,6,3,102
610,18.84,299.08,30.92,21.78,565,109,30,62,66,301,81,30,9.28,9.66,11.97,16,17,13,412
611,9.32,25.63,1.82,1.51,42,2,1,6,4,29,5,2,0.85,0.54,0.43,0,0,1,36
612,7.0,32.26,2.69,2.08,60,4,4,6,6,29,13,1,0.72,1.72,0.25,0,1,0,43
613,14.12,101.38,4.9,5.84,215,14,8,28,21,134,9,3,2.94,1.15,0.82,5,0,1,146
614,18.32,176.73,20.49,13.11,319,56,16,35,60,154,69,16,6.26,8.13,6.1,5,11,6,239
615,16.91,137.67,12.32,9.51,235,37,15,36,49,151,31,13,4.72,3.48,4.12,6,2,4,195
616,19.56,93.1,5.21,5.31,194,27,6,20,46,124,8,4,2.46,0.97,1.78,4,1,1,136
617,15.78,190.28,28.32,14.12,330,78,17,55,48,138,74,40,4.22,8.97,15.13,9,10,14,252
618,16.06,130.41,16.91,9.86,220,57,10,31,35,100,62,17,3.55,7.71,5.66,9,7,5,179
619,24.42,153.15,8.88,9.68,299,35,14,42,60,189,18,8,3.91,2.22,2.75,5,5,2,215
620,10.17,14.79,0.95,0.85,24,1,1,8,1,16,4,0,0.43,0.52,0.0,0,0,0,20
621,11.6,8.86,0.66,0.6,17,3,0,3,1,9,2,1,0.19,0.21,0.26,0,0,1,12
