name,minutes/game,games_played,icetime,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
Luke Kunin,13.83,82,68042,128.83,15.32,9.44,209,22,9,20,17,107,52,17,3.97,6.36,5,5,6,2,176
Colin Miller,18.98,38,43279,48.93,1.36,2.95,102,14,6,6,13,73,0,0,1.36,0,0,2,0,0,73
Dillon Heatherington,12.33,9,6660,4.12,0.7,0.18,9,0,0,0,2,5,0,1,0.05,0,0.66,0,0,0,6
Aleksi Heponiemi,14.03,6,5050,6.07,0.62,0.46,8,1,0,3,3,5,3,0,0.18,0.43,0,0,0,0,8
Kasper Bjorkqvist,8.37,6,3013,6.36,0.84,0.53,11,1,0,0,0,4,3,1,0.09,0.47,0.29,0,1,0,8
Nick Schmaltz,18.25,63,68975,117.8,14.3,8.45,212,59,10,52,42,110,41,12,3.9,5.37,5.03,7,9,7,163
Jacob Peterson,11.06,65,43146,86.18,9.86,6.1,146,17,6,13,17,72,31,12,2.51,3.91,3.45,1,9,2,115
Ryan Reaves,10.65,69,44088,43.12,4.66,3.34,73,13,5,11,21,37,19,3,1.38,2.35,0.93,2,3,0,59
Nikolaj Ehlers,18.07,62,67216,248.42,22.68,16.99,450,55,26,41,44,259,66,17,8.83,8.19,5.65,14,7,7,342
Matt Irwin,12.64,17,12895,25.49,0.64,1.31,49,4,2,2,7,35,1,0,0.5,0.13,0,1,0,0,36
Stefan Noesen,14.33,2,1719,6.6,0.83,0.53,11,0,0,0,3,5,3,1,0.14,0.32,0.37,0,0,0,9
Erik Johnson,17.38,69,71949,110.09,5.62,6.31,236,20,9,33,28,148,7,4,3.09,0.98,1.55,5,1,1,159
Tucker Poolman,17.00,40,40803,42.06,2.02,2.38,104,3,4,7,15,56,4,1,1.3,0.51,0.21,1,0,0,61
Parker Kelly,10.58,41,26016,47.5,5.64,3.26,83,12,3,11,7,39,18,7,1.46,2.16,2.02,4,1,2,64
Mark Jankowski,13.64,19,15555,15.51,1.79,1.02,29,5,1,4,10,14,6,2,0.49,0.79,0.51,1,1,0,22
Scott Laughton,16.42,67,66014,111.83,14.44,8.04,196,30,7,31,40,83,46,19,2.67,5.77,6.01,0,4,7,148
Justin Braun,19.55,69,80923,71.1,2.43,4.05,160,18,4,16,32,100,5,0,1.86,0.57,0,5,1,0,105
Alex Belzile,10.39,11,6859,9.93,0.62,0.66,19,0,0,3,5,12,1,1,0.26,0.11,0.24,0,0,0,14
Teddy Blueger,15.02,65,58570,85.3,9.44,5.63,134,28,7,37,22,71,31,12,2.3,3.6,3.54,1,3,5,114
Noah Juulsen,14.68,8,7044,6.16,0.14,0.34,11,2,1,1,5,9,0,0,0.14,0,0,0,0,0,9
Alec Martinez,19.54,26,30483,30.45,1.13,1.74,69,8,1,8,19,44,1,0,0.99,0.13,0,3,0,0,45
J.T. Compher,16.32,70,68554,106.89,16.66,8.26,199,33,10,26,18,88,29,29,3.08,3.47,10.12,4,8,6,146
Joel Hanley,11.94,44,31523,21.98,0.72,1.18,56,6,0,5,14,31,1,0,0.58,0.14,0,2,0,0,32
Alec Regula,17.88,15,16091,16,0.6,1.04,41,1,0,8,13,23,1,0,0.44,0.16,0,1,0,0,24
Ryan Johansen,16.57,79,78520,109.39,16.3,8.63,182,63,8,39,45,97,39,17,3.46,4.62,8.22,7,8,11,153
Sam Carrick,11.47,64,44034,84.14,8.32,5.44,139,19,4,14,14,76,28,10,2.08,3.42,2.83,3,4,4,114
Ondrej Palat,16.49,77,76190,144.28,18.39,10.86,248,49,9,30,25,108,74,15,4.21,8.7,5.47,4,12,2,197
Colton Parayko,23.56,80,113069,125.63,7.35,7.51,244,35,9,51,53,168,10,5,4.27,1.31,1.77,3,0,3,183
