,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
455,Jimmy Vesey,14.42,115.95,12.45,7.63,185,15,5,57,33,97,50,8,3.43,6.35,2.67,1,6,1,155
456,Martin Frk,14.03,15.61,2.06,1.16,28,2,0,0,5,12,7,3,0.36,0.73,0.97,1,0,1,22
457,Nikita Zaitsev,18.99,68.3,2.33,4.04,138,11,3,13,35,101,0,1,1.99,0.0,0.34,1,0,1,102
458,Brayden McNabb,19.7,90.7,3.61,4.99,195,18,6,37,28,125,6,2,2.22,0.78,0.6,2,0,1,133
459,Tony DeAngelo,19.81,131.84,6.83,8.58,264,51,8,27,39,177,11,3,4.23,1.31,1.28,7,2,1,191
460,Logan Brown,10.19,36.1,5.38,3.04,56,11,4,7,13,21,20,8,0.87,2.44,2.07,1,1,2,49
461,Jordan Martinook,11.2,85.29,7.95,5.89,152,15,7,11,15,87,28,6,2.89,3.55,1.5,5,0,1,121
462,Brent Burns,26.15,195.95,9.2,13.11,446,54,18,68,97,274,15,4,5.83,1.93,1.44,7,1,2,293
463,Ryan Lindgren,20.1,68.81,4.05,4.02,154,15,5,19,32,89,8,3,1.69,0.94,1.41,1,2,1,100
464,William Carrier,11.62,123.72,15.96,9.95,194,20,16,24,12,87,55,20,3.36,6.67,5.93,2,6,1,162
465,Tomas Tatar,14.83,141.98,16.53,9.75,244,30,8,27,25,124,48,19,4.82,5.85,5.86,1,8,6,191
466,Blake Comeau,11.47,1.51,0.14,0.1,5,1,0,1,4,1,1,0,0.03,0.11,0.0,1,0,0,2
467,Robby Fabbri,17.33,128.54,15.01,9.95,211,30,7,13,21,101,52,17,3.41,6.69,4.91,3,9,5,170
468,Artemi Kniazev,11.98,2.16,0.12,0.13,3,0,0,0,0,3,0,0,0.12,0.0,0.0,0,0,0,3
469,Nicolas Meloche,16.88,35.72,1.32,2.05,94,7,4,17,26,50,2,0,1.07,0.26,0.0,2,0,0,52
470,Andrej Sustr,14.72,26.75,0.76,1.44,62,6,1,10,15,38,1,0,0.61,0.15,0.0,1,0,0,39
471,Ross Johnston,10.27,8.2,1.38,0.68,18,7,0,4,10,8,2,2,0.4,0.32,0.66,0,1,1,12
472,Joel Armia,13.72,98.8,10.13,7.22,179,14,8,30,28,93,32,10,2.82,4.13,3.18,2,1,3,135
473,Oskar Steen,11.07,25.31,2.03,1.51,43,6,2,9,5,27,5,2,0.74,0.67,0.63,0,1,1,34
474,Vincent Trocheck,17.87,185.8,25.09,14.29,300,51,14,50,42,150,79,25,5.51,9.54,10.04,2,10,9,254
